mode,rank,uv_format,s_format,avg_ppl,bytes_per_token,total_bytes,total_tokens,total_tx,eval_time_s,run_json,status,error
trunc_slice,512,fp32,fp32,8.634757660204752,6145.0,29297786880,4767744,1164,574.9066665172577,results/onlinesvd_bitsqueeze/ppl_runs_20260226_221024/trunc_slice_512_uv-fp32_s-fp32/run_20260226_221959.json,ok,
trunc_slice,512,fp32,fp16,8.635801624313837,6144.51171875,29295458880,4767744,1164,571.8066215515137,results/onlinesvd_bitsqueeze/ppl_runs_20260226_221024/trunc_slice_512_uv-fp32_s-fp16/run_20260226_222931.json,ok,
trunc_slice,512,fp32,fp8,8.660319321899639,6144.263671875,29294276256,4767744,1164,570.5857260227203,results/onlinesvd_bitsqueeze/ppl_runs_20260226_221024/trunc_slice_512_uv-fp32_s-fp8/run_20260226_223902.json,ok,
trunc_slice,512,fp16,fp32,8.630231246499495,3073.0234375,14651389056,4767744,1164,568.2323660850525,results/onlinesvd_bitsqueeze/ppl_runs_20260226_221024/trunc_slice_512_uv-fp16_s-fp32/run_20260226_224830.json,ok,
trunc_slice,512,fp16,fp16,8.63584414008799,3072.53515625,14649061056,4767744,1164,673.1387739181519,results/onlinesvd_bitsqueeze/ppl_runs_20260226_221024/trunc_slice_512_uv-fp16_s-fp16/run_20260226_225943.json,ok,
trunc_slice,512,fp16,fp8,8.659389939806047,3072.287109375,14647878432,4767744,1164,661.6740365028381,results/onlinesvd_bitsqueeze/ppl_runs_20260226_221024/trunc_slice_512_uv-fp16_s-fp8/run_20260226_231045.json,ok,
trunc_slice,512,bf16,fp32,8.634862115079967,3073.0234375,14651389056,4767744,1164,572.7466843128204,results/onlinesvd_bitsqueeze/ppl_runs_20260226_221024/trunc_slice_512_uv-bf16_s-fp32/run_20260226_232018.json,ok,
trunc_slice,512,bf16,fp16,8.632632226172726,3072.53515625,14649061056,4767744,1164,573.977254152298,results/onlinesvd_bitsqueeze/ppl_runs_20260226_221024/trunc_slice_512_uv-bf16_s-fp16/run_20260226_232952.json,ok,
trunc_slice,512,bf16,fp8,8.659988014408297,3072.287109375,14647878432,4767744,1164,574.2674641609192,results/onlinesvd_bitsqueeze/ppl_runs_20260226_221024/trunc_slice_512_uv-bf16_s-fp8/run_20260226_233927.json,ok,
trunc_slice,512,q8_0,fp32,8.636156416439517,1729.03515625,8243596992,4767744,1164,573.9323363304138,results/onlinesvd_bitsqueeze/ppl_runs_20260226_221024/trunc_slice_512_uv-q8_0_s-fp32/run_20260226_234901.json,ok,
trunc_slice,512,q8_0,fp16,8.640293771569171,1728.546875,8241268992,4767744,1164,573.0731229782104,results/onlinesvd_bitsqueeze/ppl_runs_20260226_221024/trunc_slice_512_uv-q8_0_s-fp16/run_20260226_235834.json,ok,
trunc_slice,512,q8_0,fp8,8.665129009314452,1728.298828125,8240086368,4767744,1164,587.6152675151825,results/onlinesvd_bitsqueeze/ppl_runs_20260226_221024/trunc_slice_512_uv-q8_0_s-fp8/run_20260227_000822.json,ok,
trunc_slice,512,mxfp8,fp32,8.668970418354155,1585.03515625,7557041856,4767744,1164,643.5534133911133,results/onlinesvd_bitsqueeze/ppl_runs_20260226_221024/trunc_slice_512_uv-mxfp8_s-fp32/run_20260227_001905.json,ok,
trunc_slice,512,mxfp8,fp16,8.667968405149306,1584.546875,7554713856,4767744,1164,577.5399816036224,results/onlinesvd_bitsqueeze/ppl_runs_20260226_221024/trunc_slice_512_uv-mxfp8_s-fp16/run_20260227_002843.json,ok,
trunc_slice,512,mxfp8,fp8,8.693913443799175,1584.298828125,7553531232,4767744,1164,573.6146867275238,results/onlinesvd_bitsqueeze/ppl_runs_20260226_221024/trunc_slice_512_uv-mxfp8_s-fp8/run_20260227_003817.json,ok,
trunc_slice,512,fp8,fp32,8.673166897787596,1537.02734375,7328152896,4767744,1164,582.2791874408722,results/onlinesvd_bitsqueeze/ppl_runs_20260226_221024/trunc_slice_512_uv-fp8_s-fp32/run_20260227_004759.json,ok,
trunc_slice,512,fp8,fp16,8.665457188832185,1536.5390625,7325824896,4767744,1164,582.3557076454163,results/onlinesvd_bitsqueeze/ppl_runs_20260226_221024/trunc_slice_512_uv-fp8_s-fp16/run_20260227_005742.json,ok,
trunc_slice,512,fp8,fp8,8.702910206391744,1536.291015625,7324642272,4767744,1164,583.6873073577881,results/onlinesvd_bitsqueeze/ppl_runs_20260226_221024/trunc_slice_512_uv-fp8_s-fp8/run_20260227_010726.json,ok,
trunc_slice,512,q4_0,fp32,9.097603176507686,961.03515625,4581969600,4767744,1164,573.2497706413269,results/onlinesvd_bitsqueeze/ppl_runs_20260226_221024/trunc_slice_512_uv-q4_0_s-fp32/run_20260227_011659.json,ok,
trunc_slice,512,q4_0,fp16,9.09126606716455,960.546875,4579641600,4767744,1164,574.1935946941376,results/onlinesvd_bitsqueeze/ppl_runs_20260226_221024/trunc_slice_512_uv-q4_0_s-fp16/run_20260227_012633.json,ok,
trunc_slice,512,q4_0,fp8,9.122146207112783,960.298828125,4578458976,4767744,1164,569.3606848716736,results/onlinesvd_bitsqueeze/ppl_runs_20260226_221024/trunc_slice_512_uv-q4_0_s-fp8/run_20260227_013603.json,ok,
trunc_slice,512,nf4,fp32,9.114327540008835,865.03515625,4124266176,4767744,1164,577.4876298904419,results/onlinesvd_bitsqueeze/ppl_runs_20260226_221024/trunc_slice_512_uv-nf4_s-fp32/run_20260227_014541.json,ok,
trunc_slice,512,nf4,fp16,9.09870404309325,864.546875,4121938176,4767744,1164,577.2174253463745,results/onlinesvd_bitsqueeze/ppl_runs_20260226_221024/trunc_slice_512_uv-nf4_s-fp16/run_20260227_015518.json,ok,
trunc_slice,512,nf4,fp8,9.125859960142702,864.298828125,4120755552,4767744,1164,579.5179531574249,results/onlinesvd_bitsqueeze/ppl_runs_20260226_221024/trunc_slice_512_uv-nf4_s-fp8/run_20260227_020458.json,ok,
trunc_slice,512,mxfp4,fp32,9.641211326429339,817.03515625,3895414464,4767744,1164,581.1364281177521,results/onlinesvd_bitsqueeze/ppl_runs_20260226_221024/trunc_slice_512_uv-mxfp4_s-fp32/run_20260227_021439.json,ok,
trunc_slice,512,mxfp4,fp16,9.611602268154435,816.546875,3893086464,4767744,1164,578.150274515152,results/onlinesvd_bitsqueeze/ppl_runs_20260226_221024/trunc_slice_512_uv-mxfp4_s-fp16/run_20260227_022417.json,ok,
trunc_slice,512,mxfp4,fp8,9.664244151921444,816.298828125,3891903840,4767744,1164,580.885600566864,results/onlinesvd_bitsqueeze/ppl_runs_20260226_221024/trunc_slice_512_uv-mxfp4_s-fp8/run_20260227_023358.json,ok,
trunc_slice,512,nf4_dq,fp32,9.117304253239595,793.0390625,3781007232,4767744,1164,580.4889872074127,results/onlinesvd_bitsqueeze/ppl_runs_20260226_221024/trunc_slice_512_uv-nf4_dq_s-fp32/run_20260227_024339.json,ok,
